domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2,4,0,"Dec 31, 2017 9:08:01 AM",hafizh,2675,727,1492,33148,ACEH BARAT 2,2,-1,5,2892,False,2,4,"Dec 31, 2017 9:08:01 AM",hafizh
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2,3,1,"Dec 31, 2017 9:08:01 AM",hafizh,2676,727,1492,30031,ACEH BARAT 3,3,-1,1,7339,False,2,4,"Dec 31, 2017 9:08:01 AM",hafizh
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2,4,1,"Dec 31, 2017 9:08:01 AM",hafizh,2677,727,1492,37583,ACEH BARAT 4,4,-1,2,7327,False,2,5,"Dec 31, 2017 9:08:01 AM",hafizh
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2,3,1,"Dec 31, 2017 9:08:01 AM",hafizh,2678,727,1492,28887,ACEH BARAT 5,5,-1,4,6195,False,2,4,"Dec 31, 2017 9:08:01 AM",hafizh
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,7,0,"Dec 31, 2017 3:36:37 PM",vici,5565,1348,1824,79209,ACEH BESAR 1,1,-1,4,2279,False,2,7,"Dec 31, 2017 10:32:13 AM",hafizh
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,4,1,"Dec 31, 2017 3:36:37 PM",vici,5566,1348,1824,53432,ACEH BESAR 2,2,-1,1,9472,False,2,5,"Dec 31, 2017 10:32:13 AM",hafizh
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,6,0,"Dec 31, 2017 3:36:37 PM",vici,5567,1348,1824,66058,ACEH BESAR 3,3,-1,5,118,False,2,6,"Dec 31, 2017 10:32:13 AM",hafizh
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,7,1,"Dec 31, 2017 3:36:37 PM",vici,5568,1348,1824,82590,ACEH BESAR 4,4,-1,2,5660,False,2,8,"Dec 31, 2017 10:32:13 AM",hafizh
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,9,0,"Dec 31, 2017 3:36:37 PM",vici,5569,1348,1824,103372,ACEH BESAR 5,5,-1,3,4462,False,2,9,"Dec 31, 2017 10:32:13 AM",hafizh
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,7,1,"Dec 31, 2017 2:53:12 PM",hafizh,2922,781,2452,83631,PIDIE 1,1,-1,2,7030,False,2,8,"Dec 31, 2017 2:53:12 PM",hafizh
