idPro,namaPro,idKab,namaKab,totalAlokasiKursi
20802,BENGKULU,20803,BENGKULU TENGAH,25
20802,BENGKULU,20923,BENGKULU SELATAN,25
20802,BENGKULU,21093,REJANG LEBONG,30
20802,BENGKULU,21265,BENGKULU UTARA,30
20802,BENGKULU,21492,KAUR,25
20802,BENGKULU,21702,SELUMA,30
20802,BENGKULU,21885,MUKOMUKO,25
20802,BENGKULU,22052,LEBONG,25
20802,BENGKULU,22135,KEPAHIANG,25
20802,BENGKULU,22252,KOTA BENGKULU,35
22328,LAMPUNG,22329,PRINGSEWU,40
22328,LAMPUNG,22439,MESUJI,35
22328,LAMPUNG,22522,TULANG BAWANG BARAT,30
22328,LAMPUNG,22605,LAMPUNG SELATAN,50
22328,LAMPUNG,22875,LAMPUNG TENGAH,50
22328,LAMPUNG,23189,LAMPUNG UTARA,45
22328,LAMPUNG,23460,LAMPUNG BARAT,35
22328,LAMPUNG,23737,TULANG BAWANG,40
22328,LAMPUNG,23903,TANGGAMUS,45
22328,LAMPUNG,24202,LAMPUNG TIMUR,50
22328,LAMPUNG,24484,WAY KANAN,40
22328,LAMPUNG,24709,KOTA BANDAR LAMPUNG,50
22328,LAMPUNG,24822,KOTA METRO,25
22328,LAMPUNG,24850,PESAWARAN,45
22328,LAMPUNG,928071,PESISIR BARAT,25
24993,KEPULAUAN BANGKA BELITUNG,24994,BANGKA,35
24993,KEPULAUAN BANGKA BELITUNG,25072,BELITUNG,25
24993,KEPULAUAN BANGKA BELITUNG,25120,BANGKA SELATAN,25
24993,KEPULAUAN BANGKA BELITUNG,25181,BANGKA TENGAH,25
24993,KEPULAUAN BANGKA BELITUNG,25245,BANGKA BARAT,25
24993,KEPULAUAN BANGKA BELITUNG,25316,BELITUNG TIMUR,25
24993,KEPULAUAN BANGKA BELITUNG,25363,KOTA PANGKALPINANG,30
25405,KEPULAUAN RIAU,25406,KOTA TANJUNGPINANG,30
25405,KEPULAUAN RIAU,25429,KEPULAUAN ANAMBAS,20
25405,KEPULAUAN RIAU,25471,BINTAN,25
25405,KEPULAUAN RIAU,25533,KARIMUN,30
25405,KEPULAUAN RIAU,25597,NATUNA,20
25405,KEPULAUAN RIAU,25683,LINGGA,20
25405,KEPULAUAN RIAU,25746,KOTA BATAM,50
26141,JAWA BARAT,26142,BOGOR,55
26141,JAWA BARAT,26611,SUKABUMI,50
26141,JAWA BARAT,27026,CIANJUR,50
26141,JAWA BARAT,27407,BANDUNG,55
26141,JAWA BARAT,27714,GARUT,50
26141,JAWA BARAT,28182,TASIKMALAYA,50
26141,JAWA BARAT,28573,CIAMIS,50
26141,JAWA BARAT,28960,KUNINGAN,50
26141,JAWA BARAT,29369,CIREBON,50
26141,JAWA BARAT,29834,MAJALENGKA,50
26141,JAWA BARAT,30197,SUMEDANG,50
26141,JAWA BARAT,30503,INDRAMAYU,50
26141,JAWA BARAT,30851,SUBANG,50
26141,JAWA BARAT,31135,PURWAKARTA,45
26141,JAWA BARAT,31345,KARAWANG,50
26141,JAWA BARAT,31685,BEKASI,50
26141,JAWA BARAT,31896,BANDUNG BARAT,50
26141,JAWA BARAT,32077,KOTA BOGOR,50
26141,JAWA BARAT,32152,KOTA SUKABUMI,35
26141,JAWA BARAT,32193,KOTA BANDUNG,50
26141,JAWA BARAT,32375,KOTA CIREBON,35
26141,JAWA BARAT,32403,KOTA BEKASI,50
26141,JAWA BARAT,32472,KOTA DEPOK,50
26141,JAWA BARAT,32547,KOTA CIMAHI,45
26141,JAWA BARAT,32566,KOTA TASIKMALAYA,45
26141,JAWA BARAT,32646,KOTA BANJAR,30
26141,JAWA BARAT,927964,PANGANDARAN,40
32676,JAWA TENGAH,32677,CILACAP,50
32676,JAWA TENGAH,32986,BANYUMAS,50
32676,JAWA TENGAH,33345,PURBALINGGA,45
32676,JAWA TENGAH,33603,BANJARNEGARA,50
32676,JAWA TENGAH,33902,KEBUMEN,50
32676,JAWA TENGAH,34389,PURWOREJO,45
32676,JAWA TENGAH,34900,WONOSOBO,45
