idProvinsi,namaProvinsi,createdAt,createdBy,idDapil,idVersi,idWilayah,jumlahPenduduk,namaDapil,noDapil,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt
14086,RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,117,126,14086,-1,RIAU  7,7,True,1,8,"Jan 22, 2018 3:42:27 PM"
14086,RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,118,126,14086,-1,RIAU  8,8,True,1,8,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,119,127,15885,-1,JAMBI  1,1,True,1,10,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,120,127,15885,-1,JAMBI  2,2,True,1,10,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,121,127,15885,-1,JAMBI  3,3,True,1,10,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,122,127,15885,-1,JAMBI  4,4,True,1,6,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,123,127,15885,-1,JAMBI  5,5,True,1,10,"Jan 22, 2018 3:42:27 PM"
15885,JAMBI,"Jan 22, 2018 3:42:27 PM",superadmin,124,127,15885,-1,JAMBI  6,6,True,1,9,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,125,128,17404,-1,SUMATERA SELATAN  1,1,True,1,6,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,126,128,17404,-1,SUMATERA SELATAN  2,2,True,1,7,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,127,128,17404,-1,SUMATERA SELATAN  3,3,True,1,12,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,128,128,17404,-1,SUMATERA SELATAN  4,4,True,1,6,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,129,128,17404,-1,SUMATERA SELATAN  5,5,True,1,7,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,130,128,17404,-1,SUMATERA SELATAN  6,6,True,1,8,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,131,128,17404,-1,SUMATERA SELATAN  7,7,True,1,8,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,132,128,17404,-1,SUMATERA SELATAN  8,8,True,1,7,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,133,128,17404,-1,SUMATERA SELATAN  9,9,True,1,6,"Jan 22, 2018 3:42:27 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 3:42:27 PM",superadmin,134,128,17404,-1,SUMATERA SELATAN  10,10,True,1,8,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,135,129,20802,-1,BENGKULU  1,1,True,1,8,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,136,129,20802,-1,BENGKULU  2,2,True,1,8,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,137,129,20802,-1,BENGKULU  3,3,True,1,4,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,138,129,20802,-1,BENGKULU  4,4,True,1,9,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,139,129,20802,-1,BENGKULU  5,5,True,1,4,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,140,129,20802,-1,BENGKULU  6,6,True,1,7,"Jan 22, 2018 3:42:27 PM"
20802,BENGKULU,"Jan 22, 2018 3:42:27 PM",superadmin,141,129,20802,-1,BENGKULU  7,7,True,1,5,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,142,130,22328,-1,LAMPUNG  1,1,True,1,11,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,143,130,22328,-1,LAMPUNG  2,2,True,1,10,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,144,130,22328,-1,LAMPUNG  3,3,True,1,11,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,145,130,22328,-1,LAMPUNG  4,4,True,1,10,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,146,130,22328,-1,LAMPUNG  5,5,True,1,11,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,147,130,22328,-1,LAMPUNG  6,6,True,1,10,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,148,130,22328,-1,LAMPUNG  7,7,True,1,12,"Jan 22, 2018 3:42:27 PM"
22328,LAMPUNG,"Jan 22, 2018 3:42:27 PM",superadmin,149,130,22328,-1,LAMPUNG  8,8,True,1,10,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,156,132,25405,-1,KEPULAUAN RIAU  1,1,True,1,5,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,157,132,25405,-1,KEPULAUAN RIAU  2,2,True,1,6,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,158,132,25405,-1,KEPULAUAN RIAU  3,3,True,1,6,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,159,132,25405,-1,KEPULAUAN RIAU  4,4,True,1,10,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,160,132,25405,-1,KEPULAUAN RIAU  5,5,True,1,10,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,161,132,25405,-1,KEPULAUAN RIAU  6,6,True,1,5,"Jan 22, 2018 3:42:27 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 3:42:27 PM",superadmin,162,132,25405,-1,KEPULAUAN RIAU  7,7,True,1,3,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,173,134,26141,-1,JAWA BARAT  1,1,True,1,8,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,174,134,26141,-1,JAWA BARAT  2,2,True,1,10,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,175,134,26141,-1,JAWA BARAT  3,3,True,1,4,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,176,134,26141,-1,JAWA BARAT  4,4,True,1,6,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,177,134,26141,-1,JAWA BARAT  5,5,True,1,8,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,178,134,26141,-1,JAWA BARAT  6,6,True,1,11,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,179,134,26141,-1,JAWA BARAT  7,7,True,1,3,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,180,134,26141,-1,JAWA BARAT  8,8,True,1,11,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,181,134,26141,-1,JAWA BARAT  9,9,True,1,7,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,182,134,26141,-1,JAWA BARAT  10,10,True,1,8,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,183,134,26141,-1,JAWA BARAT  11,11,True,1,11,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,184,134,26141,-1,JAWA BARAT  12,12,True,1,12,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,185,134,26141,-1,JAWA BARAT  13,13,True,1,8,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,186,134,26141,-1,JAWA BARAT  14,14,True,1,6,"Jan 22, 2018 3:42:27 PM"
26141,JAWA BARAT,"Jan 22, 2018 3:42:27 PM",superadmin,187,134,26141,-1,JAWA BARAT  15,15,True,1,7,"Jan 22, 2018 3:42:27 PM"
24993,KEPULAUAN BANGKA BELITUNG,"Jan 22, 2018 3:42:27 PM",superadmin,150,131,24993,-1,KEPULAUAN BANGKA BELITUNG  1,1,True,1,7,"Jan 22, 2018 3:42:27 PM"
