jenisPemilihan,dapil_id,nama_dapil,id_provinsi,nama_provinsi,kode_kabkota,nama_kabkota
DPRD Provinsi,93,SUMATERA UTARA  3,6728,SUMATERA UTARA,,
DPRD Provinsi,94,SUMATERA UTARA  4,6728,SUMATERA UTARA,,
DPRD Provinsi,95,SUMATERA UTARA  5,6728,SUMATERA UTARA,,
DPRD Provinsi,96,SUMATERA UTARA  6,6728,SUMATERA UTARA,,
DPRD Provinsi,97,SUMATERA UTARA  7,6728,SUMATERA UTARA,,
DPRD Provinsi,98,SUMATERA UTARA  8,6728,SUMATERA UTARA,,
DPRD Provinsi,99,SUMATERA UTARA  9,6728,SUMATERA UTARA,,
DPRD Provinsi,100,SUMATERA UTARA  10,6728,SUMATERA UTARA,,
DPRD Provinsi,101,SUMATERA UTARA  11,6728,SUMATERA UTARA,,
DPRD Provinsi,102,SUMATERA UTARA  12,6728,SUMATERA UTARA,,
DPRD Provinsi,103,SUMATERA BARAT  1,12920,SUMATERA BARAT,,
DPRD Provinsi,104,SUMATERA BARAT  2,12920,SUMATERA BARAT,,
DPRD Provinsi,105,SUMATERA BARAT  3,12920,SUMATERA BARAT,,
DPRD Provinsi,106,SUMATERA BARAT  4,12920,SUMATERA BARAT,,
DPRD Provinsi,107,SUMATERA BARAT  5,12920,SUMATERA BARAT,,
DPRD Provinsi,108,SUMATERA BARAT  6,12920,SUMATERA BARAT,,
DPRD Provinsi,109,SUMATERA BARAT  7,12920,SUMATERA BARAT,,
DPRD Provinsi,110,SUMATERA BARAT  8,12920,SUMATERA BARAT,,
DPRD Provinsi,111,RIAU  1,14086,RIAU,,
DPRD Provinsi,112,RIAU  2,14086,RIAU,,
DPRD Provinsi,113,RIAU  3,14086,RIAU,,
DPRD Provinsi,114,RIAU  4,14086,RIAU,,
DPRD Provinsi,115,RIAU  5,14086,RIAU,,
DPRD Provinsi,116,RIAU  6,14086,RIAU,,
DPRD Provinsi,117,RIAU  7,14086,RIAU,,
DPRD Provinsi,118,RIAU  8,14086,RIAU,,
DPRD Provinsi,119,JAMBI  1,15885,JAMBI,,
DPRD Provinsi,120,JAMBI  2,15885,JAMBI,,
DPRD Provinsi,121,JAMBI  3,15885,JAMBI,,
DPRD Provinsi,122,JAMBI  4,15885,JAMBI,,
DPRD Provinsi,123,JAMBI  5,15885,JAMBI,,
DPRD Provinsi,124,JAMBI  6,15885,JAMBI,,
DPRD Provinsi,125,SUMATERA SELATAN  1,17404,SUMATERA SELATAN,,
DPRD Provinsi,126,SUMATERA SELATAN  2,17404,SUMATERA SELATAN,,
DPRD Provinsi,127,SUMATERA SELATAN  3,17404,SUMATERA SELATAN,,
DPRD Provinsi,128,SUMATERA SELATAN  4,17404,SUMATERA SELATAN,,
DPRD Provinsi,129,SUMATERA SELATAN  5,17404,SUMATERA SELATAN,,
DPRD Provinsi,130,SUMATERA SELATAN  6,17404,SUMATERA SELATAN,,
DPRD Provinsi,131,SUMATERA SELATAN  7,17404,SUMATERA SELATAN,,
DPRD Provinsi,132,SUMATERA SELATAN  8,17404,SUMATERA SELATAN,,
DPRD Provinsi,133,SUMATERA SELATAN  9,17404,SUMATERA SELATAN,,
DPRD Provinsi,134,SUMATERA SELATAN  10,17404,SUMATERA SELATAN,,
DPRD Provinsi,135,BENGKULU  1,20802,BENGKULU,,
DPRD Provinsi,136,BENGKULU  2,20802,BENGKULU,,
DPRD Provinsi,137,BENGKULU  3,20802,BENGKULU,,
DPRD Provinsi,138,BENGKULU  4,20802,BENGKULU,,
DPRD Provinsi,139,BENGKULU  5,20802,BENGKULU,,
DPRD Provinsi,140,BENGKULU  6,20802,BENGKULU,,
DPRD Provinsi,141,BENGKULU  7,20802,BENGKULU,,
DPRD Provinsi,142,LAMPUNG  1,22328,LAMPUNG,,
