dapil_id,nama_dapil,id_provinsi,nama_provinsi
201,DAERAH ISTIMEWA YOGYAKARTA  1,41863,DAERAH ISTIMEWA YOGYAKARTA
202,DAERAH ISTIMEWA YOGYAKARTA  2,41863,DAERAH ISTIMEWA YOGYAKARTA
203,DAERAH ISTIMEWA YOGYAKARTA  3,41863,DAERAH ISTIMEWA YOGYAKARTA
204,DAERAH ISTIMEWA YOGYAKARTA  4,41863,DAERAH ISTIMEWA YOGYAKARTA
205,DAERAH ISTIMEWA YOGYAKARTA  5,41863,DAERAH ISTIMEWA YOGYAKARTA
206,DAERAH ISTIMEWA YOGYAKARTA  6,41863,DAERAH ISTIMEWA YOGYAKARTA
207,DAERAH ISTIMEWA YOGYAKARTA  7,41863,DAERAH ISTIMEWA YOGYAKARTA
208,JAWA TIMUR  1,42385,JAWA TIMUR
209,JAWA TIMUR  2,42385,JAWA TIMUR
210,JAWA TIMUR  3,42385,JAWA TIMUR
211,JAWA TIMUR  4,42385,JAWA TIMUR
212,JAWA TIMUR  5,42385,JAWA TIMUR
213,JAWA TIMUR  6,42385,JAWA TIMUR
214,JAWA TIMUR  7,42385,JAWA TIMUR
215,JAWA TIMUR  8,42385,JAWA TIMUR
216,JAWA TIMUR  9,42385,JAWA TIMUR
217,JAWA TIMUR  10,42385,JAWA TIMUR
218,JAWA TIMUR  11,42385,JAWA TIMUR
219,JAWA TIMUR  12,42385,JAWA TIMUR
220,JAWA TIMUR  13,42385,JAWA TIMUR
221,JAWA TIMUR  14,42385,JAWA TIMUR
222,BANTEN  1,51578,BANTEN
223,BANTEN  2,51578,BANTEN
224,BANTEN  3,51578,BANTEN
225,BANTEN  4,51578,BANTEN
226,BANTEN  5,51578,BANTEN
227,BANTEN  6,51578,BANTEN
228,BANTEN  7,51578,BANTEN
229,BANTEN  8,51578,BANTEN
230,BANTEN  9,51578,BANTEN
231,BANTEN  10,51578,BANTEN
232,BALI  1,53241,BALI
233,BALI  2,53241,BALI
234,BALI  3,53241,BALI
235,BALI  4,53241,BALI
236,BALI  5,53241,BALI
237,BALI  6,53241,BALI
238,BALI  7,53241,BALI
239,BALI  8,53241,BALI
240,BALI  9,53241,BALI
241,NUSA TENGGARA BARAT  1,54020,NUSA TENGGARA BARAT
242,NUSA TENGGARA BARAT  2,54020,NUSA TENGGARA BARAT
243,NUSA TENGGARA BARAT  3,54020,NUSA TENGGARA BARAT
244,NUSA TENGGARA BARAT  4,54020,NUSA TENGGARA BARAT
245,NUSA TENGGARA BARAT  5,54020,NUSA TENGGARA BARAT
246,NUSA TENGGARA BARAT  6,54020,NUSA TENGGARA BARAT
247,NUSA TENGGARA BARAT  7,54020,NUSA TENGGARA BARAT
248,NUSA TENGGARA BARAT  8,54020,NUSA TENGGARA BARAT
249,NUSA TENGGARA TIMUR  1,55065,NUSA TENGGARA TIMUR
250,NUSA TENGGARA TIMUR  2,55065,NUSA TENGGARA TIMUR
251,NUSA TENGGARA TIMUR  3,55065,NUSA TENGGARA TIMUR
252,NUSA TENGGARA TIMUR  4,55065,NUSA TENGGARA TIMUR
253,NUSA TENGGARA TIMUR  5,55065,NUSA TENGGARA TIMUR
254,NUSA TENGGARA TIMUR  6,55065,NUSA TENGGARA TIMUR
255,NUSA TENGGARA TIMUR  7,55065,NUSA TENGGARA TIMUR
256,NUSA TENGGARA TIMUR  8,55065,NUSA TENGGARA TIMUR
257,KALIMANTAN BARAT  1,58285,KALIMANTAN BARAT
258,KALIMANTAN BARAT  2,58285,KALIMANTAN BARAT
259,KALIMANTAN BARAT  3,58285,KALIMANTAN BARAT
260,KALIMANTAN BARAT  4,58285,KALIMANTAN BARAT
261,KALIMANTAN BARAT  5,58285,KALIMANTAN BARAT
262,KALIMANTAN BARAT  6,58285,KALIMANTAN BARAT
263,KALIMANTAN BARAT  7,58285,KALIMANTAN BARAT
264,KALIMANTAN BARAT  8,58285,KALIMANTAN BARAT
265,KALIMANTAN TENGAH  1,60371,KALIMANTAN TENGAH
266,KALIMANTAN TENGAH  2,60371,KALIMANTAN TENGAH
267,KALIMANTAN TENGAH  3,60371,KALIMANTAN TENGAH
268,KALIMANTAN TENGAH  4,60371,KALIMANTAN TENGAH
269,KALIMANTAN TENGAH  5,60371,KALIMANTAN TENGAH
270,KALIMANTAN SELATAN  1,61965,KALIMANTAN SELATAN
271,KALIMANTAN SELATAN  2,61965,KALIMANTAN SELATAN
272,KALIMANTAN SELATAN  3,61965,KALIMANTAN SELATAN
273,KALIMANTAN SELATAN  4,61965,KALIMANTAN SELATAN
274,KALIMANTAN SELATAN  5,61965,KALIMANTAN SELATAN
275,KALIMANTAN SELATAN  6,61965,KALIMANTAN SELATAN
276,KALIMANTAN SELATAN  7,61965,KALIMANTAN SELATAN
277,KALIMANTAN TIMUR  1,64111,KALIMANTAN TIMUR
278,KALIMANTAN TIMUR  2,64111,KALIMANTAN TIMUR
279,KALIMANTAN TIMUR  3,64111,KALIMANTAN TIMUR
280,KALIMANTAN TIMUR  4,64111,KALIMANTAN TIMUR
281,KALIMANTAN TIMUR  5,64111,KALIMANTAN TIMUR
282,KALIMANTAN TIMUR  6,64111,KALIMANTAN TIMUR
283,SULAWESI UTARA  1,65702,SULAWESI UTARA
284,SULAWESI UTARA  2,65702,SULAWESI UTARA
285,SULAWESI UTARA  3,65702,SULAWESI UTARA
286,SULAWESI UTARA  4,65702,SULAWESI UTARA
287,SULAWESI UTARA  5,65702,SULAWESI UTARA
288,SULAWESI UTARA  6,65702,SULAWESI UTARA
289,SULAWESI TENGAH  1,67393,SULAWESI TENGAH
290,SULAWESI TENGAH  2,67393,SULAWESI TENGAH
291,SULAWESI TENGAH  3,67393,SULAWESI TENGAH
292,SULAWESI TENGAH  4,67393,SULAWESI TENGAH
293,SULAWESI TENGAH  5,67393,SULAWESI TENGAH
294,SULAWESI TENGAH  6,67393,SULAWESI TENGAH
295,SULAWESI SELATAN  1,69268,SULAWESI SELATAN
296,SULAWESI SELATAN  2,69268,SULAWESI SELATAN
297,SULAWESI SELATAN  3,69268,SULAWESI SELATAN
298,SULAWESI SELATAN  4,69268,SULAWESI SELATAN
299,SULAWESI SELATAN  5,69268,SULAWESI SELATAN
300,SULAWESI SELATAN  6,69268,SULAWESI SELATAN
301,SULAWESI SELATAN  7,69268,SULAWESI SELATAN
302,SULAWESI SELATAN  8,69268,SULAWESI SELATAN
303,SULAWESI SELATAN  9,69268,SULAWESI SELATAN
304,SULAWESI SELATAN  10,69268,SULAWESI SELATAN
305,SULAWESI SELATAN  11,69268,SULAWESI SELATAN
306,SULAWESI TENGGARA  1,72551,SULAWESI TENGGARA
307,SULAWESI TENGGARA  2,72551,SULAWESI TENGGARA
308,SULAWESI TENGGARA  3,72551,SULAWESI TENGGARA
309,SULAWESI TENGGARA  4,72551,SULAWESI TENGGARA
310,SULAWESI TENGGARA  5,72551,SULAWESI TENGGARA
311,SULAWESI TENGGARA  6,72551,SULAWESI TENGGARA
312,GORONTALO  1,74716,GORONTALO
313,GORONTALO  2,74716,GORONTALO
314,GORONTALO  3,74716,GORONTALO
315,GORONTALO  4,74716,GORONTALO
316,GORONTALO  5,74716,GORONTALO
317,GORONTALO  6,74716,GORONTALO
318,SULAWESI BARAT  1,75425,SULAWESI BARAT
319,SULAWESI BARAT  2,75425,SULAWESI BARAT
320,SULAWESI BARAT  3,75425,SULAWESI BARAT
321,SULAWESI BARAT  4,75425,SULAWESI BARAT
322,SULAWESI BARAT  5,75425,SULAWESI BARAT
323,SULAWESI BARAT  6,75425,SULAWESI BARAT
324,SULAWESI BARAT  7,75425,SULAWESI BARAT
325,MALUKU  1,76096,MALUKU
326,MALUKU  2,76096,MALUKU
327,MALUKU  3,76096,MALUKU
328,MALUKU  4,76096,MALUKU
329,MALUKU  5,76096,MALUKU
330,MALUKU  6,76096,MALUKU
331,MALUKU  7,76096,MALUKU
332,MALUKU UTARA  1,77085,MALUKU UTARA
333,MALUKU UTARA  2,77085,MALUKU UTARA
334,MALUKU UTARA  3,77085,MALUKU UTARA
335,MALUKU UTARA  4,77085,MALUKU UTARA
336,MALUKU UTARA  5,77085,MALUKU UTARA
337,PAPUA  1,78203,PAPUA
338,PAPUA  2,78203,PAPUA
339,PAPUA  3,78203,PAPUA
340,PAPUA  4,78203,PAPUA
341,PAPUA  5,78203,PAPUA
342,PAPUA  6,78203,PAPUA
343,PAPUA  7,78203,PAPUA
344,PAPUA BARAT  1,81877,PAPUA BARAT
345,PAPUA BARAT  2,81877,PAPUA BARAT
346,PAPUA BARAT  3,81877,PAPUA BARAT
347,PAPUA BARAT  4,81877,PAPUA BARAT
348,PAPUA BARAT  5,81877,PAPUA BARAT
349,KALIMANTAN UTARA  1,928068,KALIMANTAN UTARA
350,KALIMANTAN UTARA  2,928068,KALIMANTAN UTARA
351,KALIMANTAN UTARA  3,928068,KALIMANTAN UTARA
352,KALIMANTAN UTARA  4,928068,KALIMANTAN UTARA
