dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
3035,KOTA SUBULUSSALAM 1,6648,KOTA SUBULUSSALAM,1,ACEH
3036,KOTA SUBULUSSALAM 2,6648,KOTA SUBULUSSALAM,1,ACEH
3037,KOTA SUBULUSSALAM 3,6648,KOTA SUBULUSSALAM,1,ACEH
3038,KOTA SUBULUSSALAM 4,6648,KOTA SUBULUSSALAM,1,ACEH
3194,LABUHANBATU SELATAN 1,6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
3195,LABUHANBATU SELATAN 2,6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
3196,LABUHANBATU SELATAN 3,6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
3197,LABUHANBATU SELATAN 4,6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
3198,LABUHANBATU SELATAN 5,6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
5624,LABUHANBATU UTARA 1,6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
5625,LABUHANBATU UTARA 2,6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
5626,LABUHANBATU UTARA 3,6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
5627,LABUHANBATU UTARA 4,6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
5628,LABUHANBATU UTARA 5,6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
3283,NIAS UTARA 1,6888,NIAS UTARA,6728,SUMATERA UTARA
3284,NIAS UTARA 2,6888,NIAS UTARA,6728,SUMATERA UTARA
3285,NIAS UTARA 3,6888,NIAS UTARA,6728,SUMATERA UTARA
3286,NIAS UTARA 4,6888,NIAS UTARA,6728,SUMATERA UTARA
3641,NIAS BARAT 1,7013,NIAS BARAT,6728,SUMATERA UTARA
3642,NIAS BARAT 2,7013,NIAS BARAT,6728,SUMATERA UTARA
3039,KOTA GUNUNGSITOLI 1,7132,KOTA GUNUNGSITOLI,6728,SUMATERA UTARA
3040,KOTA GUNUNGSITOLI 2,7132,KOTA GUNUNGSITOLI,6728,SUMATERA UTARA
3041,KOTA GUNUNGSITOLI 3,7132,KOTA GUNUNGSITOLI,6728,SUMATERA UTARA
5629,TAPANULI TENGAH 1,7240,TAPANULI TENGAH,6728,SUMATERA UTARA
5630,TAPANULI TENGAH 2,7240,TAPANULI TENGAH,6728,SUMATERA UTARA
5631,TAPANULI TENGAH 3,7240,TAPANULI TENGAH,6728,SUMATERA UTARA
5632,TAPANULI TENGAH 4,7240,TAPANULI TENGAH,6728,SUMATERA UTARA
3399,TAPANULI UTARA 1,7438,TAPANULI UTARA,6728,SUMATERA UTARA
